Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Lower class large families,1,3,30-40 years,Family with grown ups,44905,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,37575,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,27915,0
"Modern, complete families",1,3,40-50 years,Average Family,19504,0
Large family farms,1,4,30-40 years,Farmers,34943,0
Young and rising,1,2,20-30 years,Living well,13064,0
Large religious families,2,3,30-40 years,Conservative families,29090,0
Lower class large families,1,2,40-50 years,Family with grown ups,6895,0
Lower class large families,1,2,50-60 years,Family with grown ups,35497,0
Family starters,2,3,40-50 years,Average Family,30800,0
Stable family,1,4,40-50 years,Average Family,39157,0
"Modern, complete families",1,3,40-50 years,Average Family,40839,0
Lower class large families,1,2,40-50 years,Family with grown ups,30008,0
Mixed rurals,1,3,40-50 years,Farmers,37209,0
Young and rising,1,1,30-40 years,Living well,45361,0
Lower class large families,1,2,40-50 years,Family with grown ups,45650,0
Traditional families,1,2,40-50 years,Conservative families,18982,0
Mixed apartment dwellers,2,3,40-50 years,Living well,30093,0
Young all american family,1,4,30-40 years,Average Family,27097,0
Low income catholics,1,2,50-60 years,Retired and Religious,23511,0
Lower class large families,1,4,40-50 years,Family with grown ups,48009,0
Lower class large families,2,3,40-50 years,Family with grown ups,37055,0
Young all american family,1,3,30-40 years,Average Family,18152,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,22095,0
Young all american family,2,4,40-50 years,Average Family,24572,0
Lower class large families,1,3,40-50 years,Family with grown ups,17587,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,40597,0
Large family farms,1,3,40-50 years,Farmers,13016,0
Low income catholics,1,4,30-40 years,Retired and Religious,30355,0
Lower class large families,2,2,40-50 years,Family with grown ups,5594,0
"Young, low educated",2,2,30-40 years,Living well,26152,0
Young and rising,1,2,30-40 years,Living well,46469,0
Lower class large families,1,4,40-50 years,Family with grown ups,2208,0
Traditional families,1,2,40-50 years,Conservative families,42982,0
Young all american family,2,4,40-50 years,Average Family,47538,0
Middle class families,1,3,30-40 years,Driven Growers,28379,0
